...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
,"","","","","",,
,"","",Alabama,"","",,4779736
,"","","","","",,
1,01CS001,Autauga,Autauga,01,001,54571,54571
,"","","","","",,
2,01CS002,Baldwin,Baldwin,01,003,182265,182265
,"","","","","",,
3,01CS003,Barbour+Bullock+Henry,Barbour,01,005,27457,55673
,"","",Bullock,01,011,10914,
,"","",Henry,01,067,17302,
,"","","","","",,
4,01CS004,Bibb+Chilton+Coosa+Perry,Bibb,01,007,22915,88688
,"","",Chilton,01,021,43643,
,"","",Coosa,01,037,11539,
,"","",Perry,01,105,10591,
,"","","","","",,
5,01CS005,Blount,Blount,01,009,57322,57322
,"","","","","",,
6,01CS006,Butler+Crenshaw+Pike,Butler,01,013,20947,67752
,"","",Crenshaw,01,041,13906,
,"","",Pike,01,109,32899,
,"","","","","",,
7,01CS007,Calhoun,Calhoun,01,015,118572,118572
,"","","","","",,
8,01CS008,Chambers+Cleburne+Randolph,Chambers,01,017,34215,72100
,"","",Cleburne,01,029,14972,
,"","",Randolph,01,111,22913,
,"","","","","",,
9,01CS009,Cherokee+Etowah,Cherokee,01,019,25989,130419
,"","",Etowah,01,055,104430,
,"","","","","",,
10,01CS010,Choctaw+Clarke+Washington,Choctaw,01,023,13859,57273
,"","",Clarke,01,025,25833,
,"","",Washington,01,129,17581,
,"","","","","",,
11,01CS011,Clay+Talladega,Clay,01,027,13932,96223
,"","",Talladega,01,121,82291,
,"","","","","",,
12,01CS012,Coffee+Geneva,Coffee,01,031,49948,76738
,"","",Geneva,01,061,26790,
,"","","","","",,
13,01CS013,Colbert,Colbert,01,033,54428,54428
,"","","","","",,
14,01CS014,Conecuh+Marengo+Monroe+Wilcox,Conecuh,01,035,13228,68993
,"","",Marengo,01,091,21027,
,"","",Monroe,01,099,23068,
,"","",Wilcox,01,131,11670,
,"","","","","",,
15,01CS015,Convington+Escambia,Covington,01,039,37765,76084
,"","",Escambia,01,053,38319,
,"","","","","",,
16,01CS016,Cullman,Cullman,01,043,80406,80406
,"","","","","",,
17,01CS017,Dale,Dale,01,045,50251,50251
,"","","","","",,
18,01CS018,Dallas+Lowndes,Dallas,01,047,43820,55119
,"","",Lowndes,01,085,11299,
,"","","","","",,
19,01CS019,DeKalb,DeKalb,01,049,71109,71109
,"","","","","",,
20,01CS020,Elmore,Elmore,01,051,79303,79303
,"","","","","",,
21,01CS021,Fayette+Lamar+Marion,Fayette,01,057,17241,62581
,"","",Lamar,01,075,14564,
,"","",Marion,01,093,30776,
,"","","","","",,
22,01CS022,Franklin+Lawrence,Franklin,01,059,31704,66043
,"","",Lawrence,01,079,34339,
,"","","","","",,
23,01CS023,Greene+Hale+Pickens+Sumter,Greene,01,063,9045,58314
,"","",Hale,01,065,15760,
,"","",Pickens,01,107,19746,
,"","",Sumter,01,119,13763,
,"","","","","",,
24,01CS024,Houston,Houston,01,069,101547,101547
,"","","","","",,
25,01CS025,Jackson,Jackson,01,071,53227,53227
,"","","","","",,
26,01CS026,Jefferson,Jefferson,01,073,658466,658466
,"","","","","",,
27,01CS027,Lauderdale,Lauderdale,01,077,92709,92709
,"","","","","",,
28,01CS028,Lee,Lee,01,081,140247,140247
,"","","","","",,
29,01CS029,Limestone,Limestone,01,083,82782,82782
,"","","","","",,
30,01CS030,Macon+Tallapoosa,Macon,01,087,21452,63068
,"","",Tallapoosa,01,123,41616,
,"","","","","",,
31,01CS031,Madison,Madison,01,089,334811,334811
,"","","","","",,
32,01CS032,Marshall,Marshall,01,095,93019,93019
,"","","","","",,
33,01CS033,Mobile,Mobile,01,097,412992,412992
,"","","","","",,
34,01CS034,Montgomery,Montgomery,01,101,229363,229363
,"","","","","",,
35,01CS035,Morgan,Morgan,01,103,119490,119490
,"","","","","",,
36,01CS036,Russell,Russell,01,113,52947,52947
,"","","","","",,
37,01CS037,St. Clair,St. Clair,01,115,83593,83593
,"","","","","",,
38,01CS038,Shelby,Shelby,01,117,195085,195085
,"","","","","",,
39,01CS039,Tuscaloosa,Tuscaloosa,01,125,194656,194656
,"","","","","",,
40,01CS040,Walker+Winston,Walker,01,127,67023,91507
,"","",Winston,01,133,24484,
,"","","","","",,
,"","",Alaska,"","",,709569
,"","","","","",,
41,02CS001,Anchorage,Anchorage,02,020,291826,291826
,"","","","","",,
42,02CS002,Fairbanks North Star,Fairbanks North Star,02,090,97581,97581
,"","","","","",,
43,02CS003,Kenai Peninsula,Kenai Peninsula,02,122,55400,55400
,"","","","","",,
44,02CS004,Matanuska-Susitna,Matanuska-Susitna,02,170,88995,88995
,"","","","","",,
45,02CS005,Northern Alaska,Denali,02,068,1826,50524
,"","",Nome,02,180,9492,
,"","",North Slope,02,185,9430,
,"","",Northwest Arctic,02,188,7523,
,"","",Southeast Fairbanks,02,240,7029,
,"","",Valdez-Cordova,02,261,9636,
,"","",Yukon-Koyukuk,02,290,5588,
,"","","","","",,
46,02CS006,Southeast Alaska,Haines,02,100,2508,71002
,"","",Hoonah-Angoon,02,105,2150,
,"","",Juneau,02,110,31275,
,"","",Ketchikan Gateway,02,130,13477,
,"","",Petersburg,02,195,3815,
,"","",Prince of Wales-Hyder,02,198,5559,
,"","",Sitka,02,220,8881,
,"","",Skagway,02,230,968,
,"","",Wrangell,02,275,2369,
,"","",Yakutat,02,282,662,
,"","","","","",,
47,02CS007,Southwest Alaska,Aleutians East,02,013,3141,54241
,"","",Aleutians West,02,016,5561,
,"","",Bethel,02,050,17013,
,"","",Bristol Bay,02,060,997,
,"","",Dillingham,02,070,4847,
,"","",Kodiak Island,02,150,13592,
,"","",Lake and Peninsula,02,164,1631,
,"","",Wade Hampton,02,270,7459,
,"","","","","",,
,"","",Arizona,"","",,6392017
,"","","","","",,
48,04CS001,Apache,Apache,04,001,71518,71518
,"","","","","",,
49,04CS002,Cochise+Graham+Greenee,Cochise,04,003,131346,177003
,"","",Graham,04,009,37220,
,"","",Greenlee,04,011,8437,
,"","","","","",,
50,04CS003,Coconino,Coconino,04,005,134421,134421
,"","","","","",,
51,04CS004,Gila,Gila,04,007,53597,53597
,"","","","","",,
52,04CS005,La Paz+Yavapai,La Paz,04,012,20489,231522
,"","",Yavapai,04,025,211033,
,"","","","","",,
53,04CS006,Maricopa,Maricopa,04,013,3817117,3817117
,"","","","","",,
54,04CS007,Mohave,Mohave,04,015,200186,200186
,"","","","","",,
55,04CS008,Navajo,Navajo,04,017,107449,107449
,"","","","","",,
56,04CS009,Pima+Santa Cruz,Pima,04,019,980263,1027683
,"","",Santa Cruz,04,023,47420,
,"","","","","",,
57,04CS010,Pinal,Pinal,04,021,375770,375770
,"","","","","",,
58,04CS011,Yuma,Yuma,04,027,195751,195751
,"","","","","",,
,"","",Arkansas,"","",,2915918
,"","","","","",,
59,05CS001,Arkansas (county)+Monroe+Phillips+Prairie,Arkansas (county),05,001,19019,57640
,"","",Monroe,05,095,8149,
,"","",Phillips,05,107,21757,
,"","",Prairie,05,117,8715,
,"","","","","",,
60,05CS002,Baxter+Marion,Baxter,05,005,41513,58166
,"","",Marion,05,089,16653,
,"","","","","",,
61,05CS003,Benton,Benton,05,007,221339,221339
,"","","","","",,
62,05CS004,Boone+Carroll+Madison,Boone,05,009,36903,80066
,"","",Carroll,05,015,27446,
,"","",Madison,05,087,15717,
,"","","","","",,
63,05CS005,Bradley+Calhoun+Cleveland+Union,Bradley,05,011,11508,67204
,"","",Calhoun,05,013,5368,
,"","",Cleveland,05,025,8689,
,"","",Union,05,139,41639,
,"","","","","",,
64,05CS006,Clark+Dallas+Ouachita,Clark,05,019,22995,57231
,"","",Dallas,05,039,8116,
,"","",Ouachita,05,103,26120,
,"","","","","",,
65,05CS007,Clay+Greene,Clay,05,021,16083,58173
,"","",Greene,05,055,42090,
,"","","","","",,
66,05CS008,Columbia+Lafayette+Miller,Columbia,05,027,24552,75659
,"","",Lafayette,05,073,7645,
,"","",Miller,05,091,43462,
,"","","","","",,
67,05CS009,Conway+Pope,Conway,05,029,21273,83027
,"","",Pope,05,115,61754,
,"","","","","",,
