Data As Of,Year,Quarter,State of Residence,County of Residence,FIPS State,FIPS County,FIPS Code,Urban Rural Code,COVID-19 Deaths,Total Deaths,Footnote
09/30/2021,2020,1,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,1,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Aleutians East Borough,02,013,02013,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,1,Alaska,Aleutians West Census Area,02,016,02016,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Aleutians West Census Area,02,016,02016,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Aleutians West Census Area,02,016,02016,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Aleutians West Census Area,02,016,02016,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,1,Alaska,Aleutians West Census Area,02,016,02016,Noncore,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Aleutians West Census Area,02,016,02016,Noncore,0,0,""
09/30/2021,2020,1,Alaska,Anchorage Municipality,02,020,02020,Medium metro,,464,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Anchorage Municipality,02,020,02020,Medium metro,,473,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Anchorage Municipality,02,020,02020,Medium metro,29,529,""
09/30/2021,2020,4,Alaska,Anchorage Municipality,02,020,02020,Medium metro,104,609,""
09/30/2021,2021,1,Alaska,Anchorage Municipality,02,020,02020,Medium metro,31,491,""
09/30/2021,2021,2,Alaska,Anchorage Municipality,02,020,02020,Medium metro,10,386,""
09/30/2021,2020,1,Alaska,Bethel Census Area,02,050,02050,Noncore,0,39,""
09/30/2021,2020,2,Alaska,Bethel Census Area,02,050,02050,Noncore,0,27,""
09/30/2021,2020,3,Alaska,Bethel Census Area,02,050,02050,Noncore,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Bethel Census Area,02,050,02050,Noncore,14,49,""
09/30/2021,2021,1,Alaska,Bethel Census Area,02,050,02050,Noncore,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Bethel Census Area,02,050,02050,Noncore,0,23,""
09/30/2021,2020,1,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,1,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Bristol Bay Borough,02,060,02060,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,1,Alaska,Denali Borough,02,068,02068,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Denali Borough,02,068,02068,Noncore,0,0,""
09/30/2021,2020,3,Alaska,Denali Borough,02,068,02068,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Denali Borough,02,068,02068,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,1,Alaska,Denali Borough,02,068,02068,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Denali Borough,02,068,02068,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,1,Alaska,Dillingham Census Area,02,070,02070,Noncore,0,12,""
09/30/2021,2020,2,Alaska,Dillingham Census Area,02,070,02070,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Dillingham Census Area,02,070,02070,Noncore,0,13,""
09/30/2021,2020,4,Alaska,Dillingham Census Area,02,070,02070,Noncore,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,1,Alaska,Dillingham Census Area,02,070,02070,Noncore,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2021,2,Alaska,Dillingham Census Area,02,070,02070,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,1,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,0,110,""
09/30/2021,2020,2,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,4,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,11,164,""
09/30/2021,2021,1,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,15,153,""
09/30/2021,2021,2,Alaska,Fairbanks North Star Borough,02,090,02090,Small metro,10,120,""
09/30/2021,2020,1,Alaska,Haines Borough,02,100,02100,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,2,Alaska,Haines Borough,02,100,02100,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2021,2020,3,Alaska,Haines Borough,02,100,02100,Noncore,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
