country,state,region,region_code,county_set_code,census_division,census_region,start_date,end_date,days,year,quarter,population,population_z,total_deaths,covid_deaths,total_deaths_per_day,year_zero,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,total_deaths_per_7_days,covid_deaths_per_7_days,expected_deaths_per_7_days,excess_deaths_per_7_days,non_covid_deaths_per_7_days,covid_deaths_per_100k_per_7_days,excess_deaths_per_100k_per_7_days
United States,AL,"Autauga County, AL",01001,01CS001,East South Central,South,2020-01-01,2020-03-31,91,2020,1,56145,-0.143301365243478,130,0,1.42857142857143,5,166.02108694174,-36.0210869417396,130,0,-64.1572480928659,-0.216966938388858,10,0,12.7708528416723,-2.77085284167227,10,0,-4.93517293022045
United States,AL,"Autauga County, AL",01001,01CS001,East South Central,South,2020-04-01,2020-06-30,91,2020,2,56145,-0.143301365243478,179,,1.96703296703297,5,133.813156657189,45.1868433428107,,,80.4823997556518,0.337686102559953,13.7692307692308,,10.2933197428607,3.47591102637005,,,6.19095382735783
United States,AL,"Autauga County, AL",01001,01CS001,East South Central,South,2020-07-01,2020-09-30,92,2020,3,56145,-0.143301365243478,163,,1.77173913043478,5,124.979753971512,38.0202460284881,,,67.7179553450674,0.304211240783483,12.4021739130435,,9.50932910652808,2.8928448065154,,,5.15245312408121
United States,AL,"Autauga County, AL",01001,01CS001,East South Central,South,2020-10-01,2020-12-31,92,2020,4,56145,-0.143301365243478,179,,1.94565217391304,5,146.812018012616,32.1879819873845,,,57.3300952665144,0.219246233538038,13.6195652173913,,11.1704796313947,2.44908558599665,,,4.36207246593044
United States,AL,"Baldwin County, AL",01003,01CS002,East South Central,South,2020-01-01,2020-03-31,91,2020,1,229287,0.37911766660114,647,,7.10989010989011,5,603.479315108869,43.5206848911307,,,18.9808776298398,0.0721162826985702,49.7692307692308,,46.4214857776053,3.34774499162544,,,1.46006750998767
United States,AL,"Baldwin County, AL",01003,01CS002,East South Central,South,2020-04-01,2020-06-30,91,2020,2,229287,0.37911766660114,580,,6.37362637362637,5,571.271384824319,8.72861517568083,,,3.8068513154609,0.0152792795290544,44.6153846153846,,43.9439526787938,0.671431936590833,,,0.292834716573915
United States,AL,"Baldwin County, AL",01003,01CS002,East South Central,South,2020-07-01,2020-09-30,92,2020,3,229287,0.37911766660114,723,79,7.85869565217391,5,567.245215415204,155.754784584796,644,34.4546354568728,67.9300547282648,0.274581045995759,55.0108695652174,6.01086956521739,43.1599620424611,11.8509075227563,49,2.62154834997945,5.16859112062884
United States,AL,"Baldwin County, AL",01003,01CS002,East South Central,South,2020-10-01,2020-12-31,92,2020,4,229287,0.37911766660114,741,83,8.05434782608696,5,589.077479456307,151.922520543693,658,36.1991739610183,66.2586716838255,0.257899046970715,56.3804347826087,6.31521739130435,44.8211125673277,11.559322215281,50.0652173913044,2.75428497529487,5.04142067159541
United States,AL,"Barbour County, AL",01005,01CS003,East South Central,South,2020-01-01,2020-03-31,91,2020,1,24589,-0.238514860345122,79,0,0.868131868131868,5,106.002406902322,-27.0024069023223,79,0,-109.81498597878,-0.25473390361036,6.07692307692308,0,8.15403130017864,-2.07710822325556,6.07692307692308,0,-8.44730661375233
United States,AL,"Barbour County, AL",01005,01CS003,East South Central,South,2020-04-01,2020-06-30,91,2020,2,24589,-0.238514860345122,94,,1.03296703296703,5,73.7944766177721,20.2055233822279,,,82.1730179439095,0.273808072206881,7.23076923076923,,5.67649820136708,1.55427102940215,,,6.32100138030073
